14 46

1	5	4
1	6	2
1	4	4
2	13	1
2	11	1
3	4	4
3	6	4
3	8	3
3	9	2
3	13	2
4	5	2
4	6	3
4	10	2
4	12	3
5	10	1
6	8	3
7	8	2
7	14	2
8	9	2
9	14	1
10	11	3
11	12	1
12	13	1

5	1	4
6	1	2
4	1	4
13	2	1
11	2	1
4	3	4
6	3	4
8	3	3
9	3	2
13	3	2
5	4	2
6	4	3
10	4	2
12	4	3
10	5	1
8	6	3
8	7	2
14	7	2
9	8	2
14	9	1
11	10	3
12	11	1
13	12	1

1	13.38  52.52	
2	6.78   51.23	
3	8.68   50.12	
4	9.72   52.37	
5	10.00  53.55	
6	12.38  51.33	
7	11.57  48.13	
8	11.08  49.45	
9	9.18   48.78	
10	8.80   53.08	
11	7.02   51.45	
12	7.47   51.52	
13	6.95   50.93	
14	9.98   48.40	
