# Band Profile of German 9-node 34 link network;

# s < d;
link_1to4 : ULCBand
link_1to5 : ULCBand
link_1to6 : ULCBand

link_2to3 : ULCBand
link_2to4 : ULCBand

link_3to4 : ULCBand
link_3to5 : ULCBand
link_3to6 : ULCBand
link_3to7 : ULCBand
link_3to8 : ULCBand
link_3to9 : ULCBand

link_4to5 : ULCBand
link_4to6 : ULCBand

link_6to8 : ULCBand

link_7to8 : ULCBand
link_7to9 : ULCBand

link_8to9 : ULCBand

# s > d;

link_4to1 : ULCBand
link_5to1 : ULCBand
link_6to1 : ULCBand

link_3to2 : ULCBand
link_4to2 : ULCBand

link_4to3 : ULCBand
link_5to3 : ULCBand
link_6to3 : ULCBand
link_7to3 : ULCBand
link_8to3 : ULCBand
link_9to3 : ULCBand

link_5to4 : ULCBand
link_6to4 : ULCBand

link_8to6 : ULCBand

link_8to7 : ULCBand
link_9to7 : ULCBand

link_9to8 : ULCBand
